Flow STRESS 
Sigma 	   Epsilon 	  strain_rate 	  Temperature 
6.274837E+02	0.000000E+00	1.000000E-03	2.000000E+01
8.674556E+02	1.000000E-01	1.000000E-03	2.000000E+01
6.823497E+02	0.000000E+00	1.000000E-02	2.000000E+01
9.433043E+02	1.000000E-01	1.000000E-02	2.000000E+01
7.372157E+02	0.000000E+00	1.000000E-01	2.000000E+01
1.019153E+03	1.000000E-01	1.000000E-01	2.000000E+01
6.246500E+02	0.000000E+00	1.000000E-03	2.500000E+01
8.635382E+02	1.000000E-01	1.000000E-03	2.500000E+01
6.792683E+02	0.000000E+00	1.000000E-02	2.500000E+01
9.390444E+02	1.000000E-01	1.000000E-02	2.500000E+01
7.338865E+02	0.000000E+00	1.000000E-01	2.500000E+01
1.014551E+03	1.000000E-01	1.000000E-01	2.500000E+01
