Flow STRESS 
Sigma 	   Epsilon 	  strain_rate 	  Temperature 
6.274837E+02	0.000000E+00	1.000000E-03	2.000000E+01
8.674556E+02	1.000000E-01	1.000000E-03	2.000000E+01
9.108887E+02	2.000000E-01	1.000000E-03	2.000000E+01
9.398538E+02	3.000000E-01	1.000000E-03	2.000000E+01
9.621829E+02	4.000000E-01	1.000000E-03	2.000000E+01
9.805962E+02	5.000000E-01	1.000000E-03	2.000000E+01
9.963905E+02	6.000000E-01	1.000000E-03	2.000000E+01
1.010294E+03	7.000000E-01	1.000000E-03	2.000000E+01
1.022761E+03	8.000000E-01	1.000000E-03	2.000000E+01
1.034094E+03	9.000000E-01	1.000000E-03	2.000000E+01
1.044507E+03	1.000000E+00	1.000000E-03	2.000000E+01
6.823497E+02	0.000000E+00	1.000000E-02	2.000000E+01
9.433043E+02	1.000000E-01	1.000000E-02	2.000000E+01
9.905351E+02	2.000000E-01	1.000000E-02	2.000000E+01
1.022033E+03	3.000000E-01	1.000000E-02	2.000000E+01
1.046314E+03	4.000000E-01	1.000000E-02	2.000000E+01
1.066338E+03	5.000000E-01	1.000000E-02	2.000000E+01
1.083513E+03	6.000000E-01	1.000000E-02	2.000000E+01
1.098632E+03	7.000000E-01	1.000000E-02	2.000000E+01
1.112189E+03	8.000000E-01	1.000000E-02	2.000000E+01
1.124513E+03	9.000000E-01	1.000000E-02	2.000000E+01
1.135837E+03	1.000000E+00	1.000000E-02	2.000000E+01
7.372157E+02	0.000000E+00	1.000000E-01	2.000000E+01
1.019153E+03	1.000000E-01	1.000000E-01	2.000000E+01
1.070182E+03	2.000000E-01	1.000000E-01	2.000000E+01
1.104212E+03	3.000000E-01	1.000000E-01	2.000000E+01
1.130446E+03	4.000000E-01	1.000000E-01	2.000000E+01
1.152079E+03	5.000000E-01	1.000000E-01	2.000000E+01
1.170636E+03	6.000000E-01	1.000000E-01	2.000000E+01
1.186971E+03	7.000000E-01	1.000000E-01	2.000000E+01
1.201618E+03	8.000000E-01	1.000000E-01	2.000000E+01
1.214933E+03	9.000000E-01	1.000000E-01	2.000000E+01
1.227166E+03	1.000000E+00	1.000000E-01	2.000000E+01
7.920817E+02	0.000000E+00	1.000000E+00	2.000000E+01
1.095002E+03	1.000000E-01	1.000000E+00	2.000000E+01
1.149828E+03	2.000000E-01	1.000000E+00	2.000000E+01
1.186391E+03	3.000000E-01	1.000000E+00	2.000000E+01
1.214577E+03	4.000000E-01	1.000000E+00	2.000000E+01
1.237821E+03	5.000000E-01	1.000000E+00	2.000000E+01
1.257758E+03	6.000000E-01	1.000000E+00	2.000000E+01
1.275309E+03	7.000000E-01	1.000000E+00	2.000000E+01
1.291046E+03	8.000000E-01	1.000000E+00	2.000000E+01
1.305352E+03	9.000000E-01	1.000000E+00	2.000000E+01
1.318496E+03	1.000000E+00	1.000000E+00	2.000000E+01
8.469477E+02	0.000000E+00	1.000000E+01	2.000000E+01
1.170850E+03	1.000000E-01	1.000000E+01	2.000000E+01
1.229474E+03	2.000000E-01	1.000000E+01	2.000000E+01
1.268570E+03	3.000000E-01	1.000000E+01	2.000000E+01
1.298709E+03	4.000000E-01	1.000000E+01	2.000000E+01
1.323562E+03	5.000000E-01	1.000000E+01	2.000000E+01
1.344881E+03	6.000000E-01	1.000000E+01	2.000000E+01
1.363647E+03	7.000000E-01	1.000000E+01	2.000000E+01
1.380474E+03	8.000000E-01	1.000000E+01	2.000000E+01
1.395771E+03	9.000000E-01	1.000000E+01	2.000000E+01
1.409826E+03	1.000000E+00	1.000000E+01	2.000000E+01
6.220132E+02	0.000000E+00	1.000000E-03	3.000000E+01
8.598930E+02	1.000000E-01	1.000000E-03	3.000000E+01
9.029475E+02	2.000000E-01	1.000000E-03	3.000000E+01
9.316600E+02	3.000000E-01	1.000000E-03	3.000000E+01
9.537945E+02	4.000000E-01	1.000000E-03	3.000000E+01
9.720473E+02	5.000000E-01	1.000000E-03	3.000000E+01
9.877038E+02	6.000000E-01	1.000000E-03	3.000000E+01
1.001486E+03	7.000000E-01	1.000000E-03	3.000000E+01
1.013845E+03	8.000000E-01	1.000000E-03	3.000000E+01
1.025079E+03	9.000000E-01	1.000000E-03	3.000000E+01
1.035401E+03	1.000000E+00	1.000000E-03	3.000000E+01
6.764009E+02	0.000000E+00	1.000000E-02	3.000000E+01
9.350804E+02	1.000000E-01	1.000000E-02	3.000000E+01
9.818995E+02	2.000000E-01	1.000000E-02	3.000000E+01
1.013123E+03	3.000000E-01	1.000000E-02	3.000000E+01
1.037193E+03	4.000000E-01	1.000000E-02	3.000000E+01
1.057041E+03	5.000000E-01	1.000000E-02	3.000000E+01
1.074067E+03	6.000000E-01	1.000000E-02	3.000000E+01
1.089054E+03	7.000000E-01	1.000000E-02	3.000000E+01
1.102493E+03	8.000000E-01	1.000000E-02	3.000000E+01
1.114710E+03	9.000000E-01	1.000000E-02	3.000000E+01
1.125934E+03	1.000000E+00	1.000000E-02	3.000000E+01
7.307886E+02	0.000000E+00	1.000000E-01	3.000000E+01
1.010268E+03	1.000000E-01	1.000000E-01	3.000000E+01
1.060852E+03	2.000000E-01	1.000000E-01	3.000000E+01
1.094585E+03	3.000000E-01	1.000000E-01	3.000000E+01
1.120591E+03	4.000000E-01	1.000000E-01	3.000000E+01
1.142035E+03	5.000000E-01	1.000000E-01	3.000000E+01
1.160430E+03	6.000000E-01	1.000000E-01	3.000000E+01
1.176623E+03	7.000000E-01	1.000000E-01	3.000000E+01
1.191142E+03	8.000000E-01	1.000000E-01	3.000000E+01
1.204341E+03	9.000000E-01	1.000000E-01	3.000000E+01
1.216468E+03	1.000000E+00	1.000000E-01	3.000000E+01
7.851762E+02	0.000000E+00	1.000000E+00	3.000000E+01
1.085455E+03	1.000000E-01	1.000000E+00	3.000000E+01
1.139804E+03	2.000000E-01	1.000000E+00	3.000000E+01
