Flow STRESS 
Sigma 	   Epsilon 	  strain_rate 	  Temperature 
1.176048E+03	3.000000E-01	1.000000E+00	3.000000E+01
1.203989E+03	4.000000E-01	1.000000E+00	3.000000E+01
1.227029E+03	5.000000E-01	1.000000E+00	3.000000E+01
1.246793E+03	6.000000E-01	1.000000E+00	3.000000E+01
1.264191E+03	7.000000E-01	1.000000E+00	3.000000E+01
1.279791E+03	8.000000E-01	1.000000E+00	3.000000E+01
1.293972E+03	9.000000E-01	1.000000E+00	3.000000E+01
1.307001E+03	1.000000E+00	1.000000E+00	3.000000E+01
8.395639E+02	0.000000E+00	1.000000E+01	3.000000E+01
1.160643E+03	1.000000E-01	1.000000E+01	3.000000E+01
1.218756E+03	2.000000E-01	1.000000E+01	3.000000E+01
1.257510E+03	3.000000E-01	1.000000E+01	3.000000E+01
1.287387E+03	4.000000E-01	1.000000E+01	3.000000E+01
1.312023E+03	5.000000E-01	1.000000E+01	3.000000E+01
1.333156E+03	6.000000E-01	1.000000E+01	3.000000E+01
1.351759E+03	7.000000E-01	1.000000E+01	3.000000E+01
1.368439E+03	8.000000E-01	1.000000E+01	3.000000E+01
1.383603E+03	9.000000E-01	1.000000E+01	3.000000E+01
1.397535E+03	1.000000E+00	1.000000E+01	3.000000E+01
6.169228E+02	0.000000E+00	1.000000E-03	4.000000E+01
8.528558E+02	1.000000E-01	1.000000E-03	4.000000E+01
8.955579E+02	2.000000E-01	1.000000E-03	4.000000E+01
9.240355E+02	3.000000E-01	1.000000E-03	4.000000E+01
9.459888E+02	4.000000E-01	1.000000E-03	4.000000E+01
9.640922E+02	5.000000E-01	1.000000E-03	4.000000E+01
9.796206E+02	6.000000E-01	1.000000E-03	4.000000E+01
9.932904E+02	7.000000E-01	1.000000E-03	4.000000E+01
1.005547E+03	8.000000E-01	1.000000E-03	4.000000E+01
1.016690E+03	9.000000E-01	1.000000E-03	4.000000E+01
1.026927E+03	1.000000E+00	1.000000E-03	4.000000E+01
6.708653E+02	0.000000E+00	1.000000E-02	4.000000E+01
9.274279E+02	1.000000E-01	1.000000E-02	4.000000E+01
9.738638E+02	2.000000E-01	1.000000E-02	4.000000E+01
1.004831E+03	3.000000E-01	1.000000E-02	4.000000E+01
1.028704E+03	4.000000E-01	1.000000E-02	4.000000E+01
1.048391E+03	5.000000E-01	1.000000E-02	4.000000E+01
1.065277E+03	6.000000E-01	1.000000E-02	4.000000E+01
1.080142E+03	7.000000E-01	1.000000E-02	4.000000E+01
1.093471E+03	8.000000E-01	1.000000E-02	4.000000E+01
1.105587E+03	9.000000E-01	1.000000E-02	4.000000E+01
1.116720E+03	1.000000E+00	1.000000E-02	4.000000E+01
7.248079E+02	0.000000E+00	1.000000E-01	4.000000E+01
1.002000E+03	1.000000E-01	1.000000E-01	4.000000E+01
1.052170E+03	2.000000E-01	1.000000E-01	4.000000E+01
1.085627E+03	3.000000E-01	1.000000E-01	4.000000E+01
1.111420E+03	4.000000E-01	1.000000E-01	4.000000E+01
1.132689E+03	5.000000E-01	1.000000E-01	4.000000E+01
1.150933E+03	6.000000E-01	1.000000E-01	4.000000E+01
1.166993E+03	7.000000E-01	1.000000E-01	4.000000E+01
1.181394E+03	8.000000E-01	1.000000E-01	4.000000E+01
1.194485E+03	9.000000E-01	1.000000E-01	4.000000E+01
1.206513E+03	1.000000E+00	1.000000E-01	4.000000E+01
7.787505E+02	0.000000E+00	1.000000E+00	4.000000E+01
1.076572E+03	1.000000E-01	1.000000E+00	4.000000E+01
1.130476E+03	2.000000E-01	1.000000E+00	4.000000E+01
1.166423E+03	3.000000E-01	1.000000E+00	4.000000E+01
1.194135E+03	4.000000E-01	1.000000E+00	4.000000E+01
1.216987E+03	5.000000E-01	1.000000E+00	4.000000E+01
1.236589E+03	6.000000E-01	1.000000E+00	4.000000E+01
1.253845E+03	7.000000E-01	1.000000E+00	4.000000E+01
1.269317E+03	8.000000E-01	1.000000E+00	4.000000E+01
1.283382E+03	9.000000E-01	1.000000E+00	4.000000E+01
1.296305E+03	1.000000E+00	1.000000E+00	4.000000E+01
8.326931E+02	0.000000E+00	1.000000E+01	4.000000E+01
1.151144E+03	1.000000E-01	1.000000E+01	4.000000E+01
1.208782E+03	2.000000E-01	1.000000E+01	4.000000E+01
1.247219E+03	3.000000E-01	1.000000E+01	4.000000E+01
1.276851E+03	4.000000E-01	1.000000E+01	4.000000E+01
1.301286E+03	5.000000E-01	1.000000E+01	4.000000E+01
1.322245E+03	6.000000E-01	1.000000E+01	4.000000E+01
1.340696E+03	7.000000E-01	1.000000E+01	4.000000E+01
1.357240E+03	8.000000E-01	1.000000E+01	4.000000E+01
1.372280E+03	9.000000E-01	1.000000E+01	4.000000E+01
1.386098E+03	1.000000E+00	1.000000E+01	4.000000E+01
