Flow STRESS 
Sigma 	   Epsilon 	  strain_rate 	  Temperature 
7.372157E+02	0.000000E+00	1.000000E-01	2.000000E+01
1.019153E+03	1.000000E-01	1.000000E-01	2.000000E+01
1.070182E+03	2.000000E-01	1.000000E-01	2.000000E+01
1.104212E+03	3.000000E-01	1.000000E-01	2.000000E+01
1.130446E+03	4.000000E-01	1.000000E-01	2.000000E+01
1.152079E+03	5.000000E-01	1.000000E-01	2.000000E+01
1.170636E+03	6.000000E-01	1.000000E-01	2.000000E+01
1.186971E+03	7.000000E-01	1.000000E-01	2.000000E+01
1.201618E+03	8.000000E-01	1.000000E-01	2.000000E+01
1.214933E+03	9.000000E-01	1.000000E-01	2.000000E+01
1.227166E+03	1.000000E+00	1.000000E-01	2.000000E+01
7.537320E+02	0.000000E+00	2.000000E-01	2.000000E+01
1.041986E+03	1.000000E-01	2.000000E-01	2.000000E+01
1.094157E+03	2.000000E-01	2.000000E-01	2.000000E+01
1.128950E+03	3.000000E-01	2.000000E-01	2.000000E+01
1.155772E+03	4.000000E-01	2.000000E-01	2.000000E+01
1.177890E+03	5.000000E-01	2.000000E-01	2.000000E+01
1.196862E+03	6.000000E-01	2.000000E-01	2.000000E+01
1.213563E+03	7.000000E-01	2.000000E-01	2.000000E+01
1.228538E+03	8.000000E-01	2.000000E-01	2.000000E+01
1.242152E+03	9.000000E-01	2.000000E-01	2.000000E+01
1.254659E+03	1.000000E+00	2.000000E-01	2.000000E+01
7.633934E+02	0.000000E+00	3.000000E-01	2.000000E+01
1.055342E+03	1.000000E-01	3.000000E-01	2.000000E+01
1.108183E+03	2.000000E-01	3.000000E-01	2.000000E+01
1.143421E+03	3.000000E-01	3.000000E-01	2.000000E+01
1.170587E+03	4.000000E-01	3.000000E-01	2.000000E+01
1.192988E+03	5.000000E-01	3.000000E-01	2.000000E+01
1.212204E+03	6.000000E-01	3.000000E-01	2.000000E+01
1.229119E+03	7.000000E-01	3.000000E-01	2.000000E+01
1.244286E+03	8.000000E-01	3.000000E-01	2.000000E+01
1.258074E+03	9.000000E-01	3.000000E-01	2.000000E+01
1.270742E+03	1.000000E+00	3.000000E-01	2.000000E+01
7.702483E+02	0.000000E+00	4.000000E-01	2.000000E+01
1.064818E+03	1.000000E-01	4.000000E-01	2.000000E+01
1.118133E+03	2.000000E-01	4.000000E-01	2.000000E+01
1.153689E+03	3.000000E-01	4.000000E-01	2.000000E+01
1.181098E+03	4.000000E-01	4.000000E-01	2.000000E+01
1.203701E+03	5.000000E-01	4.000000E-01	2.000000E+01
1.223088E+03	6.000000E-01	4.000000E-01	2.000000E+01
1.240156E+03	7.000000E-01	4.000000E-01	2.000000E+01
1.255459E+03	8.000000E-01	4.000000E-01	2.000000E+01
1.269370E+03	9.000000E-01	4.000000E-01	2.000000E+01
1.282152E+03	1.000000E+00	4.000000E-01	2.000000E+01
7.755654E+02	0.000000E+00	5.000000E-01	2.000000E+01
1.072169E+03	1.000000E-01	5.000000E-01	2.000000E+01
1.125852E+03	2.000000E-01	5.000000E-01	2.000000E+01
1.161653E+03	3.000000E-01	5.000000E-01	2.000000E+01
1.189251E+03	4.000000E-01	5.000000E-01	2.000000E+01
1.212010E+03	5.000000E-01	5.000000E-01	2.000000E+01
1.231532E+03	6.000000E-01	5.000000E-01	2.000000E+01
1.248716E+03	7.000000E-01	5.000000E-01	2.000000E+01
1.264125E+03	8.000000E-01	5.000000E-01	2.000000E+01
1.278133E+03	9.000000E-01	5.000000E-01	2.000000E+01
1.291003E+03	1.000000E+00	5.000000E-01	2.000000E+01
7.307886E+02	0.000000E+00	1.000000E-01	3.000000E+01
1.010268E+03	1.000000E-01	1.000000E-01	3.000000E+01
1.060852E+03	2.000000E-01	1.000000E-01	3.000000E+01
1.094585E+03	3.000000E-01	1.000000E-01	3.000000E+01
1.120591E+03	4.000000E-01	1.000000E-01	3.000000E+01
1.142035E+03	5.000000E-01	1.000000E-01	3.000000E+01
1.160430E+03	6.000000E-01	1.000000E-01	3.000000E+01
1.176623E+03	7.000000E-01	1.000000E-01	3.000000E+01
1.191142E+03	8.000000E-01	1.000000E-01	3.000000E+01
1.204341E+03	9.000000E-01	1.000000E-01	3.000000E+01
1.216468E+03	1.000000E+00	1.000000E-01	3.000000E+01
7.471609E+02	0.000000E+00	2.000000E-01	3.000000E+01
1.032902E+03	1.000000E-01	2.000000E-01	3.000000E+01
1.084619E+03	2.000000E-01	2.000000E-01	3.000000E+01
1.119108E+03	3.000000E-01	2.000000E-01	3.000000E+01
1.145696E+03	4.000000E-01	2.000000E-01	3.000000E+01
1.167621E+03	5.000000E-01	2.000000E-01	3.000000E+01
1.186428E+03	6.000000E-01	2.000000E-01	3.000000E+01
1.202983E+03	7.000000E-01	2.000000E-01	3.000000E+01
1.217828E+03	8.000000E-01	2.000000E-01	3.000000E+01
1.231322E+03	9.000000E-01	2.000000E-01	3.000000E+01
1.243721E+03	1.000000E+00	2.000000E-01	3.000000E+01
7.567381E+02	0.000000E+00	3.000000E-01	3.000000E+01
1.046141E+03	1.000000E-01	3.000000E-01	3.000000E+01
1.098521E+03	2.000000E-01	3.000000E-01	3.000000E+01
1.133453E+03	3.000000E-01	3.000000E-01	3.000000E+01
1.160382E+03	4.000000E-01	3.000000E-01	3.000000E+01
1.182588E+03	5.000000E-01	3.000000E-01	3.000000E+01
1.201635E+03	6.000000E-01	3.000000E-01	3.000000E+01
1.218403E+03	7.000000E-01	3.000000E-01	3.000000E+01
1.233438E+03	8.000000E-01	3.000000E-01	3.000000E+01
1.247106E+03	9.000000E-01	3.000000E-01	3.000000E+01
1.259663E+03	1.000000E+00	3.000000E-01	3.000000E+01
7.635332E+02	0.000000E+00	4.000000E-01	3.000000E+01
